adapter_lora_key_count,adapter_path,adapter_reload_ok,adapter_reloaded_adapter_modules,adapter_sha256,adapter_size_bytes,adapter_tensor_count,adapter_unexpected_base_model_keys,alpha,attention_impl,base_model_repo_id,base_model_revision_sha,batch_size,caption_strategy,dataset_version,diffusers_version,effective_batch_size,error_message,error_type,exp_id,gate_failures,gates_base_unet_parameters_frozen,gates_expected_trainable_parameters,gates_first_loss,gates_global_steps_completed,gates_gradients_finite,gates_gradients_nonzero,gates_gradients_present,gates_last_loss,gates_lora_params_changed,gates_lora_params_l2_delta,gates_lora_params_sha256_after,gates_lora_params_sha256_before,gates_loss_decreased,gates_losses_finite,gates_optimizer_steps_completed,gates_trainable_lora_parameters,gates_trainable_lora_tensors,gates_passed,gpu_name,grad_accum,gradient_checkpointing,height,item_count,latent_caching,learning_rate,memory_tier,optimizer,optimizer_state_dtype,optimizer_steps_planned,peft_version,phase,precision,process_config_key,rank,resources_peak_forward_backward_allocated_mb,resources_peak_optimizer_step_allocated_mb,resources_peak_process_rss_mb,resources_post_load_allocated_mb,resources_post_load_device_used_mb,resources_post_load_reserved_mb,resources_process_peak_allocated_mb,resources_process_peak_device_used_mb,resources_process_peak_reserved_mb,resources_reset_boundaries,resources_seconds_per_optimizer_step,resources_wall_seconds,sample_order_sha256,seed,smoke_kit_fingerprint,smoke_manifest_path,source_transform,status,style,target_modules,text_encoder_trained,timestamp_utc,torch_cuda_version,torch_version,vae_trained,width
256,outputs/lora/EXP-016a__probe-1step__512x512__r8a8__lr0p0001__bs1x1__st1__seed42__tier0/pytorch_lora_weights.safetensors,not measured,not measured,bde521a283230d8e519b41db83f658f21f0c4b24a58afee805a71a4cdcf005ad,6414480,256,,8,sdpa,stable-diffusion-v1-5/stable-diffusion-v1-5,451f4fe16113bff5a5d2269ed5ad43b0592e9a14,1,dataset-v1 captions verbatim; no trigger token (trigger-token design deferred to Prototype 4),dataset-v1,0.39.0,1,,,EXP-016a,,True,1594368,0.06461232155561447,1,True,True,True,0.06461232155561447,True,0.08769079,d6da245686e4c0b32d23bc6623c5192d5a6f5c6d926d982294a07fe25f1ce451,fd655a6dae7c47eb4dc9fd9d9f5a738752dd25d2513ee1efe45cfc39abd481ef,False,True,1,1594368,256,True,NVIDIA GeForce RTX 4060 Laptop GPU,1,False,512,12,False,0.0001,0,torch.optim.AdamW,fp32,1,0.20.0,probe-1step,fp16,EXP-016a__probe-1step__512x512__tier0__r8__seed42,8,3114.09,2108.93,5329.75,2066.56,3207.5,2112.0,3114.09,4267.5,3142.0,reset before component load; reset before step 0 forward/backward; reset before step 0 optimizer step,1.9344,8.579,4598b4e8307aad67cd46c997960ecec0d35f911c2134d63136b69fd27bd0987d,42,a8052f44045c1511d72689438a65216efd044fe7b494978fae59daac0b8e6470,data/manifests/smoke-test-p3.csv,centre-crop,ok,minimal-geometric,"unet attention to_q,to_k,to_v,to_out.0",False,2026-08-03T23:35:39Z,12.6,2.13.0+cu126,False,512
256,outputs/lora/EXP-016b__probe-10step__512x512__r8a8__lr0p0001__bs1x1__st10__seed42__tier0/pytorch_lora_weights.safetensors,not measured,not measured,8faa9eeeafaa373bbf0219699269c84595c97d952dfb1855f83ac0d26bc3b9fc,6414480,256,,8,sdpa,stable-diffusion-v1-5/stable-diffusion-v1-5,451f4fe16113bff5a5d2269ed5ad43b0592e9a14,1,dataset-v1 captions verbatim; no trigger token (trigger-token design deferred to Prototype 4),dataset-v1,0.39.0,1,,,EXP-016b,,True,1594368,0.06461232155561447,10,True,True,True,0.011999910697340965,True,0.41571364,8caefd342f99966618014cb789d65f621b0353af7c6af835ed672624f8b04737,45c7f3866ea7742bd61de4f0a4ac5aa00d9f966ff52c517b5f2aa492fd5ceb57,True,True,10,1594368,256,True,NVIDIA GeForce RTX 4060 Laptop GPU,1,False,512,12,False,0.0001,0,torch.optim.AdamW,fp32,10,0.20.0,probe-10step,fp16,EXP-016b__probe-10step__512x512__tier0__r8__seed42,8,3133.4,2115.01,5443.76,2066.56,3207.5,2112.0,3133.4,4285.5,3160.0,reset before component load; reset before step 0 forward/backward; reset before step 0 optimizer step,0.434,8.661,32998d3c90b7f6ae44e5112ca3180d25c11f084f832a74e90f447a683de9c2c1,42,a8052f44045c1511d72689438a65216efd044fe7b494978fae59daac0b8e6470,data/manifests/smoke-test-p3.csv,centre-crop,ok,minimal-geometric,"unet attention to_q,to_k,to_v,to_out.0",False,2026-08-03T23:36:18Z,12.6,2.13.0+cu126,False,512
256,outputs/lora/EXP-016__smoke__512x512__r8a8__lr0p0001__bs1x1__st300__seed42__tier0/pytorch_lora_weights.safetensors,not measured,not measured,e76f822bd3b6314ae38c025ae86b4dad352701c3c86b270d1e9d0ce33e12759b,6414480,256,,8,sdpa,stable-diffusion-v1-5/stable-diffusion-v1-5,451f4fe16113bff5a5d2269ed5ad43b0592e9a14,1,dataset-v1 captions verbatim; no trigger token (trigger-token design deferred to Prototype 4),dataset-v1,0.39.0,1,,,EXP-016,,True,1594368,0.06461232155561447,300,True,True,True,0.004257188644260168,True,3.85734509,d50794423746dcae459d9933b1ac943ceb9189ec33fef232ec1a7a60824363a9,b3f5e0419343819f17370b2d0670ebcb414d24e79aa855aa6582c1bead4a0d97,True,True,300,1594368,256,True,NVIDIA GeForce RTX 4060 Laptop GPU,1,False,512,12,False,0.0001,0,torch.optim.AdamW,fp32,300,0.20.0,smoke,fp16,EXP-016__smoke__512x512__tier0__r8__seed42,8,3133.4,2115.01,5543.96,2066.56,3207.5,2112.0,3133.4,4285.5,3160.0,reset before component load; reset before step 0 forward/backward; reset before step 0 optimizer step,0.2854,91.217,87367c2dac698479b2b984c0681260b0d348277f8d4f50bcce769bfaf49107f5,42,a8052f44045c1511d72689438a65216efd044fe7b494978fae59daac0b8e6470,data/manifests/smoke-test-p3.csv,centre-crop,ok,minimal-geometric,"unet attention to_q,to_k,to_v,to_out.0",False,2026-08-03T23:36:44Z,12.6,2.13.0+cu126,False,512
