exp_id,condition_id,method,timestamp_utc,model_repo_id,model_revision_sha,method_repo_id,method_revision_sha,image_encoder_revision_sha,torch_version,torch_cuda_version,diffusers_version,gpu_name,dtype,scheduler,prompt_id,prompt_sha256,negative_prompt_sha256,reference_id,reference_sha256,reference_preprocess,reference_retained_area_fraction,influence_level,strength_param_name,strength_value,effective_steps,seed,width,height,steps,guidance_scale,memory_tier,process_config_key,safety_checker_present,safety_checker_enabled,vae_variant,load_seconds,generate_seconds,peak_vram_allocated_mb,peak_vram_reserved_mb,peak_device_used_mb,peak_process_rss_mb,output_sha256,status,error_type,error_message,output_path
EXP-011,C5,img2img,2026-08-01T00:53:14+00:00,stable-diffusion-v1-5/stable-diffusion-v1-5,451f4fe16113bff5a5d2269ed5ad43b0592e9a14,,,,2.13.0+cu126,12.6,0.39.0,NVIDIA GeForce RTX 4060 Laptop GPU,float16,DPMSolverMultistepScheduler,P2-geo,85ea0319cf2a6b0219702873d88f21092ac7334553e56c13c7603daec34b4660,322eba37a8cc00f3465f0420c556f351054c86b0fe77297c0e50f65cb6b7b494,R3,cfbc213f291a0408e2cc51d051929d3a09abd100fc3c1b451b640ab7da2f83ec,centre-crop 4000x2980 -> 2980x2980 then LANCZOS resize to 512x512,0.745,weak,strength,0.85,25,42,512,512,30,7.5,0,img2img@512x512@tier0,True,False,pipeline default,13.513,2.883,2675.38,2958.0,4071.5,2513.2,953722914a24bf2f4682fc997930c60e310e558d4741f9993d26c7544aac19f1,ok,,,outputs/EXP-011/EXP-011__img2img__C5__R3__weak__s0p85__512x512__seed42__tier0.png
EXP-011,C5,img2img,2026-08-01T00:53:17+00:00,stable-diffusion-v1-5/stable-diffusion-v1-5,451f4fe16113bff5a5d2269ed5ad43b0592e9a14,,,,2.13.0+cu126,12.6,0.39.0,NVIDIA GeForce RTX 4060 Laptop GPU,float16,DPMSolverMultistepScheduler,P2-geo,85ea0319cf2a6b0219702873d88f21092ac7334553e56c13c7603daec34b4660,322eba37a8cc00f3465f0420c556f351054c86b0fe77297c0e50f65cb6b7b494,R3,cfbc213f291a0408e2cc51d051929d3a09abd100fc3c1b451b640ab7da2f83ec,centre-crop 4000x2980 -> 2980x2980 then LANCZOS resize to 512x512,0.745,weak,strength,0.85,25,1337,512,512,30,7.5,0,img2img@512x512@tier0,True,False,pipeline default,13.513,2.884,2675.38,2958.0,4071.5,2511.69,a03b4027b3c831932050f3f54b5db7d3ec8e31803512b4bfe136b15168533f35,ok,,,outputs/EXP-011/EXP-011__img2img__C5__R3__weak__s0p85__512x512__seed1337__tier0.png
EXP-011,C5,img2img,2026-08-01T00:53:20+00:00,stable-diffusion-v1-5/stable-diffusion-v1-5,451f4fe16113bff5a5d2269ed5ad43b0592e9a14,,,,2.13.0+cu126,12.6,0.39.0,NVIDIA GeForce RTX 4060 Laptop GPU,float16,DPMSolverMultistepScheduler,P2-geo,85ea0319cf2a6b0219702873d88f21092ac7334553e56c13c7603daec34b4660,322eba37a8cc00f3465f0420c556f351054c86b0fe77297c0e50f65cb6b7b494,R3,cfbc213f291a0408e2cc51d051929d3a09abd100fc3c1b451b640ab7da2f83ec,centre-crop 4000x2980 -> 2980x2980 then LANCZOS resize to 512x512,0.745,weak,strength,0.85,25,2026,512,512,30,7.5,0,img2img@512x512@tier0,True,False,pipeline default,13.513,2.908,2675.38,2958.0,4071.5,2511.7,74eebeaae446ba9999c8807fc4c87cda56582f40c9862c66a4779797ab7e330a,ok,,,outputs/EXP-011/EXP-011__img2img__C5__R3__weak__s0p85__512x512__seed2026__tier0.png
EXP-011,C6,img2img,2026-08-01T00:53:23+00:00,stable-diffusion-v1-5/stable-diffusion-v1-5,451f4fe16113bff5a5d2269ed5ad43b0592e9a14,,,,2.13.0+cu126,12.6,0.39.0,NVIDIA GeForce RTX 4060 Laptop GPU,float16,DPMSolverMultistepScheduler,P1-poster,9c67354e368ec9b9f6e28c25781f08ad6c816ef91f74c3b969ea4591b4c24722,322eba37a8cc00f3465f0420c556f351054c86b0fe77297c0e50f65cb6b7b494,R5,65701fafa3b8c3850ecb8819e69786471159b21d95b8debf035df82ece485e99,centre-crop 1024x699 -> 699x699 then LANCZOS resize to 512x512,0.6826,weak,strength,0.85,25,42,512,512,30,7.5,0,img2img@512x512@tier0,True,False,pipeline default,13.513,2.908,2675.38,2958.0,4071.5,2511.9,810eb42373682248f1fa6c2fb567259c46f5de373d2fdf14afb47c91ef0a620c,ok,,,outputs/EXP-011/EXP-011__img2img__C6__R5__weak__s0p85__512x512__seed42__tier0.png
EXP-011,C6,img2img,2026-08-01T00:53:26+00:00,stable-diffusion-v1-5/stable-diffusion-v1-5,451f4fe16113bff5a5d2269ed5ad43b0592e9a14,,,,2.13.0+cu126,12.6,0.39.0,NVIDIA GeForce RTX 4060 Laptop GPU,float16,DPMSolverMultistepScheduler,P1-poster,9c67354e368ec9b9f6e28c25781f08ad6c816ef91f74c3b969ea4591b4c24722,322eba37a8cc00f3465f0420c556f351054c86b0fe77297c0e50f65cb6b7b494,R5,65701fafa3b8c3850ecb8819e69786471159b21d95b8debf035df82ece485e99,centre-crop 1024x699 -> 699x699 then LANCZOS resize to 512x512,0.6826,weak,strength,0.85,25,1337,512,512,30,7.5,0,img2img@512x512@tier0,True,False,pipeline default,13.513,2.883,2675.38,2958.0,4071.5,2511.99,307e20a67969f8496005afd76ab3f6d94f93b128693659b0257eb8d5d19acd98,ok,,,outputs/EXP-011/EXP-011__img2img__C6__R5__weak__s0p85__512x512__seed1337__tier0.png
EXP-011,C6,img2img,2026-08-01T00:53:29+00:00,stable-diffusion-v1-5/stable-diffusion-v1-5,451f4fe16113bff5a5d2269ed5ad43b0592e9a14,,,,2.13.0+cu126,12.6,0.39.0,NVIDIA GeForce RTX 4060 Laptop GPU,float16,DPMSolverMultistepScheduler,P1-poster,9c67354e368ec9b9f6e28c25781f08ad6c816ef91f74c3b969ea4591b4c24722,322eba37a8cc00f3465f0420c556f351054c86b0fe77297c0e50f65cb6b7b494,R5,65701fafa3b8c3850ecb8819e69786471159b21d95b8debf035df82ece485e99,centre-crop 1024x699 -> 699x699 then LANCZOS resize to 512x512,0.6826,weak,strength,0.85,25,2026,512,512,30,7.5,0,img2img@512x512@tier0,True,False,pipeline default,13.513,2.907,2675.38,2958.0,4071.5,2512.08,7d3e21842cd2d36bce8ca3d8433c17210ebabdad135ee7ebc69c3e35660dd13a,ok,,,outputs/EXP-011/EXP-011__img2img__C6__R5__weak__s0p85__512x512__seed2026__tier0.png
EXP-011,C5,img2img,2026-08-01T00:53:31+00:00,stable-diffusion-v1-5/stable-diffusion-v1-5,451f4fe16113bff5a5d2269ed5ad43b0592e9a14,,,,2.13.0+cu126,12.6,0.39.0,NVIDIA GeForce RTX 4060 Laptop GPU,float16,DPMSolverMultistepScheduler,P2-geo,85ea0319cf2a6b0219702873d88f21092ac7334553e56c13c7603daec34b4660,322eba37a8cc00f3465f0420c556f351054c86b0fe77297c0e50f65cb6b7b494,R3,cfbc213f291a0408e2cc51d051929d3a09abd100fc3c1b451b640ab7da2f83ec,centre-crop 4000x2980 -> 2980x2980 then LANCZOS resize to 512x512,0.745,medium,strength,0.65,19,42,512,512,30,7.5,0,img2img@512x512@tier0,True,False,pipeline default,13.513,2.293,2675.38,2958.0,4071.5,2512.09,9feb66cd177ab2ced30b602e5660dc0a09514a44e4a5bfcf140fc081d2302f3c,ok,,,outputs/EXP-011/EXP-011__img2img__C5__R3__medium__s0p65__512x512__seed42__tier0.png
EXP-011,C5,img2img,2026-08-01T00:53:34+00:00,stable-diffusion-v1-5/stable-diffusion-v1-5,451f4fe16113bff5a5d2269ed5ad43b0592e9a14,,,,2.13.0+cu126,12.6,0.39.0,NVIDIA GeForce RTX 4060 Laptop GPU,float16,DPMSolverMultistepScheduler,P2-geo,85ea0319cf2a6b0219702873d88f21092ac7334553e56c13c7603daec34b4660,322eba37a8cc00f3465f0420c556f351054c86b0fe77297c0e50f65cb6b7b494,R3,cfbc213f291a0408e2cc51d051929d3a09abd100fc3c1b451b640ab7da2f83ec,centre-crop 4000x2980 -> 2980x2980 then LANCZOS resize to 512x512,0.745,medium,strength,0.65,19,1337,512,512,30,7.5,0,img2img@512x512@tier0,True,False,pipeline default,13.513,2.272,2675.38,2958.0,4071.5,2512.16,f348c4413583aa706ff4ae1dcf23333843d74b6cdd2994d5b2b50dda8107bb67,ok,,,outputs/EXP-011/EXP-011__img2img__C5__R3__medium__s0p65__512x512__seed1337__tier0.png
EXP-011,C5,img2img,2026-08-01T00:53:36+00:00,stable-diffusion-v1-5/stable-diffusion-v1-5,451f4fe16113bff5a5d2269ed5ad43b0592e9a14,,,,2.13.0+cu126,12.6,0.39.0,NVIDIA GeForce RTX 4060 Laptop GPU,float16,DPMSolverMultistepScheduler,P2-geo,85ea0319cf2a6b0219702873d88f21092ac7334553e56c13c7603daec34b4660,322eba37a8cc00f3465f0420c556f351054c86b0fe77297c0e50f65cb6b7b494,R3,cfbc213f291a0408e2cc51d051929d3a09abd100fc3c1b451b640ab7da2f83ec,centre-crop 4000x2980 -> 2980x2980 then LANCZOS resize to 512x512,0.745,medium,strength,0.65,19,2026,512,512,30,7.5,0,img2img@512x512@tier0,True,False,pipeline default,13.513,2.28,2675.38,2958.0,4071.5,2512.25,03970a7e5af66061547c4b20d38d2e64c528760eeb9b82289d52c1688054a691,ok,,,outputs/EXP-011/EXP-011__img2img__C5__R3__medium__s0p65__512x512__seed2026__tier0.png
EXP-011,C6,img2img,2026-08-01T00:53:39+00:00,stable-diffusion-v1-5/stable-diffusion-v1-5,451f4fe16113bff5a5d2269ed5ad43b0592e9a14,,,,2.13.0+cu126,12.6,0.39.0,NVIDIA GeForce RTX 4060 Laptop GPU,float16,DPMSolverMultistepScheduler,P1-poster,9c67354e368ec9b9f6e28c25781f08ad6c816ef91f74c3b969ea4591b4c24722,322eba37a8cc00f3465f0420c556f351054c86b0fe77297c0e50f65cb6b7b494,R5,65701fafa3b8c3850ecb8819e69786471159b21d95b8debf035df82ece485e99,centre-crop 1024x699 -> 699x699 then LANCZOS resize to 512x512,0.6826,medium,strength,0.65,19,42,512,512,30,7.5,0,img2img@512x512@tier0,True,False,pipeline default,13.513,2.307,2675.38,2958.0,4071.5,2512.32,aed0119a7111dec21007c55b105b4b370f5680e8a1431f8b89ec9c110e492c30,ok,,,outputs/EXP-011/EXP-011__img2img__C6__R5__medium__s0p65__512x512__seed42__tier0.png
