exp_id,condition_id,method,timestamp_utc,model_repo_id,model_revision_sha,method_repo_id,method_revision_sha,image_encoder_revision_sha,torch_version,torch_cuda_version,diffusers_version,gpu_name,dtype,scheduler,prompt_id,prompt_sha256,negative_prompt_sha256,reference_id,reference_sha256,reference_preprocess,reference_retained_area_fraction,influence_level,strength_param_name,strength_value,effective_steps,seed,width,height,steps,guidance_scale,memory_tier,process_config_key,safety_checker_present,safety_checker_enabled,vae_variant,load_seconds,generate_seconds,peak_vram_allocated_mb,peak_vram_reserved_mb,peak_device_used_mb,peak_process_rss_mb,output_sha256,status,error_type,error_message,output_path
EXP-013,C1,img2img,2026-08-01T00:57:10+00:00,stable-diffusion-v1-5/stable-diffusion-v1-5,451f4fe16113bff5a5d2269ed5ad43b0592e9a14,,,,2.13.0+cu126,12.6,0.39.0,NVIDIA GeForce RTX 4060 Laptop GPU,float16,DPMSolverMultistepScheduler,P1-poster,9c67354e368ec9b9f6e28c25781f08ad6c816ef91f74c3b969ea4591b4c24722,322eba37a8cc00f3465f0420c556f351054c86b0fe77297c0e50f65cb6b7b494,R1,515d83fc703f6bec6467aef6ae43b8d8fb7ad283aa65cc9af134dafddec3ef6c,centre-crop 690x1024 -> 341x1024 then LANCZOS resize to 512x1536,0.4947,medium,strength,0.65,19,42,512,1536,30,7.5,0,img2img@512x1536@tier0,True,False,pipeline default,10.794,7.898,3892.01,4648.0,5761.5,2212.19,70ac7df0555ba1d1e113ba054fee9094920ee79f5c2ece5370a49dfc3a459a08,ok,,,outputs/EXP-013/EXP-013__img2img__C1__R1__medium__s0p65__512x1536__seed42__tier0.png
EXP-013,C1,img2img,2026-08-01T00:57:18+00:00,stable-diffusion-v1-5/stable-diffusion-v1-5,451f4fe16113bff5a5d2269ed5ad43b0592e9a14,,,,2.13.0+cu126,12.6,0.39.0,NVIDIA GeForce RTX 4060 Laptop GPU,float16,DPMSolverMultistepScheduler,P1-poster,9c67354e368ec9b9f6e28c25781f08ad6c816ef91f74c3b969ea4591b4c24722,322eba37a8cc00f3465f0420c556f351054c86b0fe77297c0e50f65cb6b7b494,R1,515d83fc703f6bec6467aef6ae43b8d8fb7ad283aa65cc9af134dafddec3ef6c,centre-crop 690x1024 -> 341x1024 then LANCZOS resize to 512x1536,0.4947,medium,strength,0.65,19,1337,512,1536,30,7.5,0,img2img@512x1536@tier0,True,False,pipeline default,10.794,7.961,3892.01,4648.0,5761.5,2212.5,b4bcc44242279768c20a71f2a792fff4de49c5c59b11f94b58df438d39f5dc8e,ok,,,outputs/EXP-013/EXP-013__img2img__C1__R1__medium__s0p65__512x1536__seed1337__tier0.png
EXP-013,C1,img2img,2026-08-01T00:57:26+00:00,stable-diffusion-v1-5/stable-diffusion-v1-5,451f4fe16113bff5a5d2269ed5ad43b0592e9a14,,,,2.13.0+cu126,12.6,0.39.0,NVIDIA GeForce RTX 4060 Laptop GPU,float16,DPMSolverMultistepScheduler,P1-poster,9c67354e368ec9b9f6e28c25781f08ad6c816ef91f74c3b969ea4591b4c24722,322eba37a8cc00f3465f0420c556f351054c86b0fe77297c0e50f65cb6b7b494,R1,515d83fc703f6bec6467aef6ae43b8d8fb7ad283aa65cc9af134dafddec3ef6c,centre-crop 690x1024 -> 341x1024 then LANCZOS resize to 512x1536,0.4947,medium,strength,0.65,19,2026,512,1536,30,7.5,0,img2img@512x1536@tier0,True,False,pipeline default,10.794,7.997,3892.01,4648.0,5761.5,2212.76,fa8750a837522bc925b3c70ab6f0893c0b2ff9a00eb31315800f3a625f279042,ok,,,outputs/EXP-013/EXP-013__img2img__C1__R1__medium__s0p65__512x1536__seed2026__tier0.png
EXP-013,C2,img2img,2026-08-01T00:57:34+00:00,stable-diffusion-v1-5/stable-diffusion-v1-5,451f4fe16113bff5a5d2269ed5ad43b0592e9a14,,,,2.13.0+cu126,12.6,0.39.0,NVIDIA GeForce RTX 4060 Laptop GPU,float16,DPMSolverMultistepScheduler,P2-geo,85ea0319cf2a6b0219702873d88f21092ac7334553e56c13c7603daec34b4660,322eba37a8cc00f3465f0420c556f351054c86b0fe77297c0e50f65cb6b7b494,R2,af49e3fb28a0582b9b651253dbdcb6b05822015e1936a4042fa6c041409d6c50,centre-crop 512x1536 -> 512x1536 then LANCZOS resize to 512x1536,1.0,medium,strength,0.65,19,42,512,1536,30,7.5,0,img2img@512x1536@tier0,True,False,pipeline default,10.794,7.973,3892.01,4648.0,5761.5,2212.78,1b9ad2b71aab1775f77e4c300f3865413d0caac6437ae0fc1250e4611d60a7f4,ok,,,outputs/EXP-013/EXP-013__img2img__C2__R2__medium__s0p65__512x1536__seed42__tier0.png
EXP-013,C2,img2img,2026-08-01T00:57:42+00:00,stable-diffusion-v1-5/stable-diffusion-v1-5,451f4fe16113bff5a5d2269ed5ad43b0592e9a14,,,,2.13.0+cu126,12.6,0.39.0,NVIDIA GeForce RTX 4060 Laptop GPU,float16,DPMSolverMultistepScheduler,P2-geo,85ea0319cf2a6b0219702873d88f21092ac7334553e56c13c7603daec34b4660,322eba37a8cc00f3465f0420c556f351054c86b0fe77297c0e50f65cb6b7b494,R2,af49e3fb28a0582b9b651253dbdcb6b05822015e1936a4042fa6c041409d6c50,centre-crop 512x1536 -> 512x1536 then LANCZOS resize to 512x1536,1.0,medium,strength,0.65,19,1337,512,1536,30,7.5,0,img2img@512x1536@tier0,True,False,pipeline default,10.794,7.969,3892.01,4648.0,5761.5,2212.82,941a03d9ce9ecc44bfc376f1d3a55f5262fd347c8a7d40693ffb25f555e75b6c,ok,,,outputs/EXP-013/EXP-013__img2img__C2__R2__medium__s0p65__512x1536__seed1337__tier0.png
EXP-013,C2,img2img,2026-08-01T00:57:50+00:00,stable-diffusion-v1-5/stable-diffusion-v1-5,451f4fe16113bff5a5d2269ed5ad43b0592e9a14,,,,2.13.0+cu126,12.6,0.39.0,NVIDIA GeForce RTX 4060 Laptop GPU,float16,DPMSolverMultistepScheduler,P2-geo,85ea0319cf2a6b0219702873d88f21092ac7334553e56c13c7603daec34b4660,322eba37a8cc00f3465f0420c556f351054c86b0fe77297c0e50f65cb6b7b494,R2,af49e3fb28a0582b9b651253dbdcb6b05822015e1936a4042fa6c041409d6c50,centre-crop 512x1536 -> 512x1536 then LANCZOS resize to 512x1536,1.0,medium,strength,0.65,19,2026,512,1536,30,7.5,0,img2img@512x1536@tier0,True,False,pipeline default,10.794,8.051,3892.01,4648.0,5761.5,2212.75,dcd00e7b8a62c244a9fc060424299f5dfbdf28421e91279dc58c39366d1f4094,ok,,,outputs/EXP-013/EXP-013__img2img__C2__R2__medium__s0p65__512x1536__seed2026__tier0.png
EXP-013,C4,img2img,2026-08-01T00:57:59+00:00,stable-diffusion-v1-5/stable-diffusion-v1-5,451f4fe16113bff5a5d2269ed5ad43b0592e9a14,,,,2.13.0+cu126,12.6,0.39.0,NVIDIA GeForce RTX 4060 Laptop GPU,float16,DPMSolverMultistepScheduler,P4-deck,bfd72ef751983f8a267f571a92badb946d8eb238b3cdc44f547d63b5a30bc19c,322eba37a8cc00f3465f0420c556f351054c86b0fe77297c0e50f65cb6b7b494,R4,45475315cf149fc37e17301190d8a87c72640a8e9d466534ea226413a51741d0,centre-crop 512x1536 -> 512x1536 then LANCZOS resize to 512x1536,1.0,medium,strength,0.65,19,42,512,1536,30,7.5,0,img2img@512x1536@tier0,True,False,pipeline default,10.794,7.98,3892.01,4648.0,5761.5,2212.77,458ba9df804512f3e32856b3af105af95df6b9c46b6829707722c542d6baf2dc,ok,,,outputs/EXP-013/EXP-013__img2img__C4__R4__medium__s0p65__512x1536__seed42__tier0.png
EXP-013,C4,img2img,2026-08-01T00:58:07+00:00,stable-diffusion-v1-5/stable-diffusion-v1-5,451f4fe16113bff5a5d2269ed5ad43b0592e9a14,,,,2.13.0+cu126,12.6,0.39.0,NVIDIA GeForce RTX 4060 Laptop GPU,float16,DPMSolverMultistepScheduler,P4-deck,bfd72ef751983f8a267f571a92badb946d8eb238b3cdc44f547d63b5a30bc19c,322eba37a8cc00f3465f0420c556f351054c86b0fe77297c0e50f65cb6b7b494,R4,45475315cf149fc37e17301190d8a87c72640a8e9d466534ea226413a51741d0,centre-crop 512x1536 -> 512x1536 then LANCZOS resize to 512x1536,1.0,medium,strength,0.65,19,1337,512,1536,30,7.5,0,img2img@512x1536@tier0,True,False,pipeline default,10.794,8.003,3892.01,4648.0,5761.5,2212.83,5ae6c68d13812a8a237ef7e77bd1130fed2e9fba1f77872de6fc37ebdea36f87,ok,,,outputs/EXP-013/EXP-013__img2img__C4__R4__medium__s0p65__512x1536__seed1337__tier0.png
EXP-013,C4,img2img,2026-08-01T00:58:15+00:00,stable-diffusion-v1-5/stable-diffusion-v1-5,451f4fe16113bff5a5d2269ed5ad43b0592e9a14,,,,2.13.0+cu126,12.6,0.39.0,NVIDIA GeForce RTX 4060 Laptop GPU,float16,DPMSolverMultistepScheduler,P4-deck,bfd72ef751983f8a267f571a92badb946d8eb238b3cdc44f547d63b5a30bc19c,322eba37a8cc00f3465f0420c556f351054c86b0fe77297c0e50f65cb6b7b494,R4,45475315cf149fc37e17301190d8a87c72640a8e9d466534ea226413a51741d0,centre-crop 512x1536 -> 512x1536 then LANCZOS resize to 512x1536,1.0,medium,strength,0.65,19,2026,512,1536,30,7.5,0,img2img@512x1536@tier0,True,False,pipeline default,10.794,8.028,3892.01,4648.0,5761.5,2212.84,aa6eeef4a58fcf649e1deb60056218b8b21b32f09f14547e18b8c56e09d08028,ok,,,outputs/EXP-013/EXP-013__img2img__C4__R4__medium__s0p65__512x1536__seed2026__tier0.png
