exp_id,condition_id,method,timestamp_utc,model_repo_id,model_revision_sha,method_repo_id,method_revision_sha,image_encoder_revision_sha,torch_version,torch_cuda_version,diffusers_version,gpu_name,dtype,scheduler,prompt_id,prompt_sha256,negative_prompt_sha256,reference_id,reference_sha256,reference_preprocess,reference_retained_area_fraction,influence_level,strength_param_name,strength_value,effective_steps,seed,width,height,steps,guidance_scale,memory_tier,process_config_key,safety_checker_present,safety_checker_enabled,vae_variant,load_seconds,generate_seconds,peak_vram_allocated_mb,peak_vram_reserved_mb,peak_device_used_mb,peak_process_rss_mb,output_sha256,status,error_type,error_message,output_path
EXP-013,C1,ip-adapter,2026-08-01T00:59:00+00:00,stable-diffusion-v1-5/stable-diffusion-v1-5,451f4fe16113bff5a5d2269ed5ad43b0592e9a14,h94/IP-Adapter,018e402774aeeddd60609b4ecdb7e298259dc729,018e402774aeeddd60609b4ecdb7e298259dc729,2.13.0+cu126,12.6,0.39.0,NVIDIA GeForce RTX 4060 Laptop GPU,float16,DPMSolverMultistepScheduler,P1-poster,9c67354e368ec9b9f6e28c25781f08ad6c816ef91f74c3b969ea4591b4c24722,322eba37a8cc00f3465f0420c556f351054c86b0fe77297c0e50f65cb6b7b494,R1,515d83fc703f6bec6467aef6ae43b8d8fb7ad283aa65cc9af134dafddec3ef6c,native size 690x1024; CLIP processor resize + centre-crop 224,1.0,medium,scale,0.55,30,42,512,1536,30,7.5,0,ip-adapter@512x1536@tier0,True,False,pipeline default,13.219,11.953,5140.69,6852.0,7965.5,2996.66,23749ead2ff54c49ab3458f0ff998aede8920d4ba9a4059c7cf55ea42e1db23d,ok,,,outputs/EXP-013/EXP-013__ip-adapter__C1__R1__medium__s0p55__512x1536__seed42__tier0.png
EXP-013,C1,ip-adapter,2026-08-01T00:59:12+00:00,stable-diffusion-v1-5/stable-diffusion-v1-5,451f4fe16113bff5a5d2269ed5ad43b0592e9a14,h94/IP-Adapter,018e402774aeeddd60609b4ecdb7e298259dc729,018e402774aeeddd60609b4ecdb7e298259dc729,2.13.0+cu126,12.6,0.39.0,NVIDIA GeForce RTX 4060 Laptop GPU,float16,DPMSolverMultistepScheduler,P1-poster,9c67354e368ec9b9f6e28c25781f08ad6c816ef91f74c3b969ea4591b4c24722,322eba37a8cc00f3465f0420c556f351054c86b0fe77297c0e50f65cb6b7b494,R1,515d83fc703f6bec6467aef6ae43b8d8fb7ad283aa65cc9af134dafddec3ef6c,native size 690x1024; CLIP processor resize + centre-crop 224,1.0,medium,scale,0.55,30,1337,512,1536,30,7.5,0,ip-adapter@512x1536@tier0,True,False,pipeline default,13.219,11.95,5140.69,6852.0,7965.5,2994.79,544d1911ecde6b0ccad6bdb51a5703a5fc85ca0f7c9806945b94650f3c80ef8d,ok,,,outputs/EXP-013/EXP-013__ip-adapter__C1__R1__medium__s0p55__512x1536__seed1337__tier0.png
EXP-013,C1,ip-adapter,2026-08-01T00:59:24+00:00,stable-diffusion-v1-5/stable-diffusion-v1-5,451f4fe16113bff5a5d2269ed5ad43b0592e9a14,h94/IP-Adapter,018e402774aeeddd60609b4ecdb7e298259dc729,018e402774aeeddd60609b4ecdb7e298259dc729,2.13.0+cu126,12.6,0.39.0,NVIDIA GeForce RTX 4060 Laptop GPU,float16,DPMSolverMultistepScheduler,P1-poster,9c67354e368ec9b9f6e28c25781f08ad6c816ef91f74c3b969ea4591b4c24722,322eba37a8cc00f3465f0420c556f351054c86b0fe77297c0e50f65cb6b7b494,R1,515d83fc703f6bec6467aef6ae43b8d8fb7ad283aa65cc9af134dafddec3ef6c,native size 690x1024; CLIP processor resize + centre-crop 224,1.0,medium,scale,0.55,30,2026,512,1536,30,7.5,0,ip-adapter@512x1536@tier0,True,False,pipeline default,13.219,12.079,5140.69,6852.0,7965.5,2994.89,62935789bf61481e99d165bdd12b18f82b161969d46a1c2d24a3820b8287861f,ok,,,outputs/EXP-013/EXP-013__ip-adapter__C1__R1__medium__s0p55__512x1536__seed2026__tier0.png
EXP-013,C2,ip-adapter,2026-08-01T00:59:37+00:00,stable-diffusion-v1-5/stable-diffusion-v1-5,451f4fe16113bff5a5d2269ed5ad43b0592e9a14,h94/IP-Adapter,018e402774aeeddd60609b4ecdb7e298259dc729,018e402774aeeddd60609b4ecdb7e298259dc729,2.13.0+cu126,12.6,0.39.0,NVIDIA GeForce RTX 4060 Laptop GPU,float16,DPMSolverMultistepScheduler,P2-geo,85ea0319cf2a6b0219702873d88f21092ac7334553e56c13c7603daec34b4660,322eba37a8cc00f3465f0420c556f351054c86b0fe77297c0e50f65cb6b7b494,R2,af49e3fb28a0582b9b651253dbdcb6b05822015e1936a4042fa6c041409d6c50,long side bounded 512x1536 -> 341x1024 (LANCZOS); CLIP processor resize + centre-crop 224,1.0,medium,scale,0.55,30,42,512,1536,30,7.5,0,ip-adapter@512x1536@tier0,True,False,pipeline default,13.219,11.994,5140.69,6852.0,7965.5,2994.91,f3694414f876550648b17b0836bd36d52ad6a45f7e34981de9c677f378b6816c,ok,,,outputs/EXP-013/EXP-013__ip-adapter__C2__R2__medium__s0p55__512x1536__seed42__tier0.png
EXP-013,C2,ip-adapter,2026-08-01T00:59:49+00:00,stable-diffusion-v1-5/stable-diffusion-v1-5,451f4fe16113bff5a5d2269ed5ad43b0592e9a14,h94/IP-Adapter,018e402774aeeddd60609b4ecdb7e298259dc729,018e402774aeeddd60609b4ecdb7e298259dc729,2.13.0+cu126,12.6,0.39.0,NVIDIA GeForce RTX 4060 Laptop GPU,float16,DPMSolverMultistepScheduler,P2-geo,85ea0319cf2a6b0219702873d88f21092ac7334553e56c13c7603daec34b4660,322eba37a8cc00f3465f0420c556f351054c86b0fe77297c0e50f65cb6b7b494,R2,af49e3fb28a0582b9b651253dbdcb6b05822015e1936a4042fa6c041409d6c50,long side bounded 512x1536 -> 341x1024 (LANCZOS); CLIP processor resize + centre-crop 224,1.0,medium,scale,0.55,30,1337,512,1536,30,7.5,0,ip-adapter@512x1536@tier0,True,False,pipeline default,13.219,12.038,5140.69,6852.0,7965.5,2976.66,f3f920f53e923e21507d8b62b157d797bfd901c0ca9e231f0ad805f74fab8b2f,ok,,,outputs/EXP-013/EXP-013__ip-adapter__C2__R2__medium__s0p55__512x1536__seed1337__tier0.png
EXP-013,C2,ip-adapter,2026-08-01T01:00:01+00:00,stable-diffusion-v1-5/stable-diffusion-v1-5,451f4fe16113bff5a5d2269ed5ad43b0592e9a14,h94/IP-Adapter,018e402774aeeddd60609b4ecdb7e298259dc729,018e402774aeeddd60609b4ecdb7e298259dc729,2.13.0+cu126,12.6,0.39.0,NVIDIA GeForce RTX 4060 Laptop GPU,float16,DPMSolverMultistepScheduler,P2-geo,85ea0319cf2a6b0219702873d88f21092ac7334553e56c13c7603daec34b4660,322eba37a8cc00f3465f0420c556f351054c86b0fe77297c0e50f65cb6b7b494,R2,af49e3fb28a0582b9b651253dbdcb6b05822015e1936a4042fa6c041409d6c50,long side bounded 512x1536 -> 341x1024 (LANCZOS); CLIP processor resize + centre-crop 224,1.0,medium,scale,0.55,30,2026,512,1536,30,7.5,0,ip-adapter@512x1536@tier0,True,False,pipeline default,13.219,12.085,5140.69,6852.0,7965.5,2754.43,92c3b979643f9865e1cfd4ddba2efce36866a829c6c5e0f4173cf1ccbf63a5e5,ok,,,outputs/EXP-013/EXP-013__ip-adapter__C2__R2__medium__s0p55__512x1536__seed2026__tier0.png
EXP-013,C4,ip-adapter,2026-08-01T01:00:13+00:00,stable-diffusion-v1-5/stable-diffusion-v1-5,451f4fe16113bff5a5d2269ed5ad43b0592e9a14,h94/IP-Adapter,018e402774aeeddd60609b4ecdb7e298259dc729,018e402774aeeddd60609b4ecdb7e298259dc729,2.13.0+cu126,12.6,0.39.0,NVIDIA GeForce RTX 4060 Laptop GPU,float16,DPMSolverMultistepScheduler,P4-deck,bfd72ef751983f8a267f571a92badb946d8eb238b3cdc44f547d63b5a30bc19c,322eba37a8cc00f3465f0420c556f351054c86b0fe77297c0e50f65cb6b7b494,R4,45475315cf149fc37e17301190d8a87c72640a8e9d466534ea226413a51741d0,long side bounded 512x1536 -> 341x1024 (LANCZOS); CLIP processor resize + centre-crop 224,1.0,medium,scale,0.55,30,42,512,1536,30,7.5,0,ip-adapter@512x1536@tier0,True,False,pipeline default,13.219,11.987,5140.69,6852.0,7965.5,2754.52,3f8c6bf72af0a51f9e910b17d10500fbc1aa3cf56b99c537918ab1a6e8bd0beb,ok,,,outputs/EXP-013/EXP-013__ip-adapter__C4__R4__medium__s0p55__512x1536__seed42__tier0.png
EXP-013,C4,ip-adapter,2026-08-01T01:00:26+00:00,stable-diffusion-v1-5/stable-diffusion-v1-5,451f4fe16113bff5a5d2269ed5ad43b0592e9a14,h94/IP-Adapter,018e402774aeeddd60609b4ecdb7e298259dc729,018e402774aeeddd60609b4ecdb7e298259dc729,2.13.0+cu126,12.6,0.39.0,NVIDIA GeForce RTX 4060 Laptop GPU,float16,DPMSolverMultistepScheduler,P4-deck,bfd72ef751983f8a267f571a92badb946d8eb238b3cdc44f547d63b5a30bc19c,322eba37a8cc00f3465f0420c556f351054c86b0fe77297c0e50f65cb6b7b494,R4,45475315cf149fc37e17301190d8a87c72640a8e9d466534ea226413a51741d0,long side bounded 512x1536 -> 341x1024 (LANCZOS); CLIP processor resize + centre-crop 224,1.0,medium,scale,0.55,30,1337,512,1536,30,7.5,0,ip-adapter@512x1536@tier0,True,False,pipeline default,13.219,12.054,5140.69,6852.0,7965.5,2754.58,a48be6059a36d65cfb5fa7ab8b2920ed4d8551a7acb5ff2b495aac67199e1ec3,ok,,,outputs/EXP-013/EXP-013__ip-adapter__C4__R4__medium__s0p55__512x1536__seed1337__tier0.png
EXP-013,C4,ip-adapter,2026-08-01T01:00:38+00:00,stable-diffusion-v1-5/stable-diffusion-v1-5,451f4fe16113bff5a5d2269ed5ad43b0592e9a14,h94/IP-Adapter,018e402774aeeddd60609b4ecdb7e298259dc729,018e402774aeeddd60609b4ecdb7e298259dc729,2.13.0+cu126,12.6,0.39.0,NVIDIA GeForce RTX 4060 Laptop GPU,float16,DPMSolverMultistepScheduler,P4-deck,bfd72ef751983f8a267f571a92badb946d8eb238b3cdc44f547d63b5a30bc19c,322eba37a8cc00f3465f0420c556f351054c86b0fe77297c0e50f65cb6b7b494,R4,45475315cf149fc37e17301190d8a87c72640a8e9d466534ea226413a51741d0,long side bounded 512x1536 -> 341x1024 (LANCZOS); CLIP processor resize + centre-crop 224,1.0,medium,scale,0.55,30,2026,512,1536,30,7.5,0,ip-adapter@512x1536@tier0,True,False,pipeline default,13.219,12.022,5140.69,6852.0,7965.5,2754.64,cd1d23b14b6c7fa3f9ce646fb16b618ed39ace40466c9893d5476fc17eb0709c,ok,,,outputs/EXP-013/EXP-013__ip-adapter__C4__R4__medium__s0p55__512x1536__seed2026__tier0.png
