exp_id,arm,checkpoint_step,style,prompt_id,lora_weight,geometry,seeds,mean_pairwise_clip_distance,min_pairwise_clip_distance
EXP-033,EXP-028,600,ukiyo-e,FP2-shared,0.0,512x512,2,0.461175,0.461175
EXP-033,EXP-028,600,ukiyo-e,FP2-shared,0.4,512x512,2,0.411567,0.411567
EXP-033,EXP-028,600,ukiyo-e,FP2-shared,0.7,512x512,3,0.317027,0.174712
EXP-033,EXP-028,600,ukiyo-e,FP2-shared,1.0,512x512,2,0.258162,0.258162
EXP-033,EXP-028,600,ukiyo-e,FP3-out-of-style,0.7,512x512,3,0.320927,0.265607
EXP-033,EXP-028,600,ukiyo-e,FP4-style-free,0.7,512x512,3,0.50007,0.488522
EXP-033,EXP-029,300,retro-poster,FP1-style,0.0,512x512,2,0.394663,0.394663
EXP-033,EXP-029,300,retro-poster,FP1-style,0.4,512x512,2,0.359528,0.359528
EXP-033,EXP-029,300,retro-poster,FP1-style,0.7,512x1536,2,0.256489,0.256489
EXP-033,EXP-029,300,retro-poster,FP1-style,0.7,512x512,3,0.541564,0.471826
EXP-033,EXP-029,300,retro-poster,FP1-style,1.0,512x1536,2,0.38186,0.38186
EXP-033,EXP-029,300,retro-poster,FP1-style,1.0,512x512,2,0.379733,0.379733
EXP-033,EXP-029,300,retro-poster,FP2-shared,0.0,512x512,2,0.530847,0.530847
EXP-033,EXP-029,300,retro-poster,FP2-shared,0.4,512x512,2,0.63129,0.63129
EXP-033,EXP-029,300,retro-poster,FP2-shared,0.7,512x512,3,0.561105,0.431525
EXP-033,EXP-029,300,retro-poster,FP2-shared,1.0,512x512,2,0.646035,0.646035
EXP-033,EXP-029,300,retro-poster,FP3-out-of-style,0.7,512x512,3,0.45771,0.307828
EXP-033,EXP-029,300,retro-poster,FP4-style-free,0.7,512x512,3,0.541721,0.485272
EXP-033,EXP-029,600,retro-poster,FP1-style,0.0,512x512,2,0.394663,0.394663
EXP-033,EXP-029,600,retro-poster,FP1-style,0.4,512x512,2,0.463478,0.463478
EXP-033,EXP-029,600,retro-poster,FP1-style,0.7,512x1536,2,0.285861,0.285861
EXP-033,EXP-029,600,retro-poster,FP1-style,0.7,512x512,3,0.462641,0.415133
EXP-033,EXP-029,600,retro-poster,FP1-style,1.0,512x1536,2,0.285409,0.285409
EXP-033,EXP-029,600,retro-poster,FP1-style,1.0,512x512,2,0.520906,0.520906
EXP-033,EXP-029,600,retro-poster,FP2-shared,0.0,512x512,2,0.530847,0.530847
EXP-033,EXP-029,600,retro-poster,FP2-shared,0.4,512x512,2,0.688521,0.688521
EXP-033,EXP-029,600,retro-poster,FP2-shared,0.7,512x512,3,0.570867,0.531138
EXP-033,EXP-029,600,retro-poster,FP2-shared,1.0,512x512,2,0.495612,0.495612
EXP-033,EXP-029,600,retro-poster,FP3-out-of-style,0.7,512x512,3,0.37662,0.351761
EXP-033,EXP-029,600,retro-poster,FP4-style-free,0.7,512x512,3,0.477346,0.459193
EXP-033,EXP-030,1800,minimal-geometric,FP1-style,0.0,512x512,2,0.489047,0.489047
EXP-033,EXP-030,1800,minimal-geometric,FP1-style,0.4,512x512,2,0.629535,0.629535
EXP-033,EXP-030,1800,minimal-geometric,FP1-style,0.7,512x512,2,0.386068,0.386068
EXP-033,EXP-030,1800,minimal-geometric,FP1-style,1.0,512x512,2,0.276947,0.276947
EXP-033,EXP-030,1800,minimal-geometric,FP2-shared,1.0,512x512,2,0.302391,0.302391
EXP-033,EXP-030,1800,retro-poster,FP1-style,0.0,512x512,2,0.394663,0.394663
EXP-033,EXP-030,1800,retro-poster,FP1-style,0.4,512x512,2,0.460264,0.460264
EXP-033,EXP-030,1800,retro-poster,FP1-style,0.7,512x512,2,0.440739,0.440739
EXP-033,EXP-030,1800,retro-poster,FP1-style,1.0,512x512,2,0.558305,0.558305
EXP-033,EXP-030,1800,retro-poster,FP2-shared,1.0,512x512,2,0.483037,0.483037
EXP-033,EXP-030,1800,ukiyo-e,FP1-style,0.0,512x512,2,0.498772,0.498772
EXP-033,EXP-030,1800,ukiyo-e,FP1-style,0.4,512x512,2,0.20616,0.20616
EXP-033,EXP-030,1800,ukiyo-e,FP1-style,0.7,512x512,2,0.20073,0.20073
EXP-033,EXP-030,1800,ukiyo-e,FP1-style,1.0,512x512,2,0.204586,0.204586
EXP-033,EXP-030,1800,ukiyo-e,FP2-shared,1.0,512x512,2,0.235629,0.235629
